"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CORIPUS","194913","5326.633","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195013","5739.362","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195113","6494.258","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195213","6670.107","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195313","6999.63","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195413","6957.71","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195513","7480.049","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195613","7937.448","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195713","7919.003","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195813","7642.203","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","195913","7993.592","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196013","8067.033","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196113","8183.995","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196213","8409.948","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196313","8686.718","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196413","8806.91","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196513","9043.403","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196613","9444.364","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196713","9815.326","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196813","10312.459","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","196913","10629.055","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197013","10869.871","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197113","11199.477","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197213","11696.347","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197301","12190.419","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197302","12187.286","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197303","12200.677","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197304","12207.967","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197305","12280.71","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197306","12862.3","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197307","12749.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197308","12635.452","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197309","12559.633","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197310","12757.774","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197311","12374.133","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197312","12149.581","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197313","12430.833","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197401","11490.516","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197402","11102.25","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197403","11355.097","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197404","11822.967","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197405","12333.258","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197406","12697.067","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197407","12811.032","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197408","12644.452","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197409","12123.7","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197410","12285.613","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197411","12331.6","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197412","12518.839","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197413","12133.496","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197501","12296.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
