U.S. Field Production of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mcrfpus2&f=a
13:25:23 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Year,U.S. Field Production of Crude Oil Thousand Barrels per Day
2020,11315
2019,12248
2018,10964
2017,9371
2016,8852
2015,9446
2014,8789
2013,7494
2012,6521
2011,5667
2010,5484
2009,5357
2008,5000
2007,5074
2006,5086
2005,5184
2004,5441
2003,5649
2002,5744
2001,5801
2000,5822
1999,5881
1998,6252
1997,6452
1996,6465
1995,6560
1994,6662
1993,6847
1992,7171
1991,7417
1990,7355
1989,7613
1988,8140
1987,8349
1986,8680
1985,8971
1984,8879
1983,8688
1982,8649
1981,8572
1980,8597
1979,8552
1978,8707
1977,8245
1976,8132
1975,8375
1974,8774
1973,9208
1972,9441
1971,9463
1970,9637
1969,9238
1968,9096
1967,8810
1966,8295
1965,7804
1964,7614
1963,7542
1962,7332
1961,7183
1960,7035
1959,7054
1958,6710
1957,7170
1956,7151
1955,6807
1954,6342
1953,6458
1952,6256
1951,6158
1950,5407
1949,5046
1948,5520
1947,5088
1946,4749
1945,4695
1944,4584
1943,4125
1942,3796
1941,3847
1940,4107
1939,3464
1938,3324
1937,3500
1936,3001
1935,2723
1934,2488
1933,2481
1932,2145
1931,2332
1930,2460
1929,2760
1928,2463
1927,2469
1926,2112
1925,1700
1924,1951
1923,2007
1922,1527
1921,1294
1920,1210
1919,1037
1918,920
1917,919
1916,822
1915,770
1914,728
1913,681
1912,609
1911,604
1910,574
1909,502
1908,488
1907,455
1906,347
1905,369
1904,320
1903,275
1902,243
1901,190
1900,174
1899,156
1898,152
1897,166
1896,167
1895,145
1894,135
1893,133
1892,138
1891,149
1890,126
1889,96
1888,75
1887,77
1886,77
1885,60
1884,66
1883,64
1882,83
1881,76
1880,72
1879,55
1878,42
1877,37
1876,25
1875,33
1874,30
1873,24
1872,17
1871,14
1870,14
1869,12
1868,10
1867,9
1866,10
1865,7
1864,6
1863,7
1862,8
1861,6
1860,1
1859,0
