U.S. Field Production of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mcrfpus2&f=m
13:20:33 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,U.S. Field Production of Crude Oil Thousand Barrels per Day
Jan 2021,11080
Dec 2020,11101
Nov 2020,11168
Oct 2020,10439
Sep 2020,10870
Aug 2020,10584
Jul 2020,10973
Jun 2020,10442
May 2020,10019
Apr 2020,12010
Mar 2020,12737
Feb 2020,12746
Jan 2020,12755
Dec 2019,12802
Nov 2019,12860
Oct 2019,12673
Sep 2019,12495
Aug 2019,12425
Jul 2019,11819
Jun 2019,12088
May 2019,12163
Apr 2019,12135
Mar 2019,11937
Feb 2019,11679
Jan 2019,11865
Dec 2018,12004
Nov 2018,11907
Oct 2018,11554
Sep 2018,11463
Aug 2018,11384
Jul 2018,10903
Jun 2018,10605
May 2018,10457
Apr 2018,10496
Mar 2018,10489
Feb 2018,10261
Jan 2018,9998
Dec 2017,9993
Nov 2017,10088
Oct 2017,9668
Sep 2017,9534
Aug 2017,9264
Jul 2017,9266
Jun 2017,9134
May 2017,9208
Apr 2017,9115
Mar 2017,9192
Feb 2017,9108
Jan 2017,8874
Dec 2016,8846
Nov 2016,8906
Oct 2016,8841
Sep 2016,8544
Aug 2016,8686
Jul 2016,8664
Jun 2016,8671
May 2016,8834
Apr 2016,8871
Mar 2016,9089
Feb 2016,9065
Jan 2016,9203
Dec 2015,9281
Nov 2015,9337
Oct 2015,9406
Sep 2015,9491
Aug 2015,9416
Jul 2015,9447
Jun 2015,9362
May 2015,9481
Apr 2015,9661
Mar 2015,9585
Feb 2015,9510
Jan 2015,9388
Dec 2014,9566
Nov 2014,9322
Oct 2014,9263
Sep 2014,9082
Aug 2014,8920
Jul 2014,8846
Jun 2014,8746
May 2014,8644
Apr 2014,8521
Mar 2014,8293
Feb 2014,8152
Jan 2014,8073
Dec 2013,7928
Nov 2013,7917
Oct 2013,7758
Sep 2013,7837
Aug 2013,7532
Jul 2013,7524
Jun 2013,7277
May 2013,7326
Apr 2013,7372
Mar 2013,7206
Feb 2013,7151
Jan 2013,7083
Dec 2012,7099
Nov 2012,7077
Oct 2012,6966
Sep 2012,6596
Aug 2012,6349
Jul 2012,6424
Jun 2012,6269
May 2012,6368
Apr 2012,6324
Mar 2012,6326
Feb 2012,6267
Jan 2012,6171
Dec 2011,6048
Nov 2011,6035
Oct 2011,5901
Sep 2011,5614
Aug 2011,5665
Jul 2011,5440
Jun 2011,5588
May 2011,5623
Apr 2011,5558
Mar 2011,5615
Feb 2011,5404
Jan 2011,5495
Dec 2010,5607
Nov 2010,5576
Oct 2010,5631
Sep 2010,5616
Aug 2010,5447
Jul 2010,5298
Jun 2010,5380
May 2010,5401
Apr 2010,5392
Mar 2010,5515
Feb 2010,5553
Jan 2010,5404
Dec 2009,5452
Nov 2009,5395
Oct 2009,5524
Sep 2009,5559
Aug 2009,5418
Jul 2009,5398
Jun 2009,5269
May 2009,5377
Apr 2009,5278
Mar 2009,5219
Feb 2009,5239
Jan 2009,5144
Dec 2008,5103
Nov 2008,5078
Oct 2008,4738
Sep 2008,3974
Aug 2008,5003
Jul 2008,5177
Jun 2008,5138
May 2008,5143
Apr 2008,5180
Mar 2008,5189
Feb 2008,5148
Jan 2008,5115
Dec 2007,5111
Nov 2007,5034
Oct 2007,5022
Sep 2007,4902
Aug 2007,4970
Jul 2007,5038
Jun 2007,5075
May 2007,5211
Apr 2007,5180
Mar 2007,5119
Feb 2007,5118
Jan 2007,5108
Dec 2006,5186
Nov 2006,5064
Oct 2006,5108
Sep 2006,5031
Aug 2006,5040
Jul 2006,5094
Jun 2006,5163
