"Año";"Periodo";"Inmigrantes"
"2008";"Semestre 1";"6.859"
"2008";"Semestre 2";"6.111"
"2009";"Semestre 1";"3.987"
"2009";"Semestre 2";"5.090"
"2010";"Semestre 1";"4.284"
"2010";"Semestre 2";"6.339"
"2011";"Semestre 1";"4.599"
"2011";"Semestre 2";"6.163"
"2012";"Semestre 1";"3.591"
"2012";"Semestre 2";"3.987"
"2013";"Semestre 1";"3.045"
"2013";"Semestre 2";"4.680"
"2014";"Semestre 1";"4.701"
"2014";"Semestre 2";"8.141"
"2015";"Semestre 1";"7.598"
"2015";"Semestre 2";"12.054"
"2016";"Semestre 1";"11.175"
"2016";"Semestre 2";"20.378"
"2017";"Semestre 1";"19.722"
"2017";"Semestre 2";"32.289"
"2018";"Semestre 1";"32.088"
"2018";"Semestre 2";"39.210"
"2019";"Semestre 1";"34.535"
"2019";"Semestre 2";"39.304"
"2020";"Semestre 1";"22.597"
;;
;;
"Métrica":"Inmigrantes"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/inmigrantes-llegados-espana-venezuela/3b0ac3d6-a057-44e5-b860-3c9a1b3c0ee5"
"Titulo":"Inmigrantes llegados a España desde Venezuela"
"Subtitulo":""
